,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen
1,0,0,0,1,60,0,0,0,0,eurorack,eurorack 1010music mx4 ,N/A, ,N/A,2025/7/24,N/A
2,0,0,0,1,1575,0,0,0,0,waldorf,waldorf iridium desktop + decksaver ,N/A, ,N/A,2025/7/24,N/A
3,0,0,0,1,750,0,0,0,0,korg,korg ex-8000 ,N/A, ,N/A,2025/7/24,N/A
4,0,0,0,1,530,0,0,0,0,roland,roland d-50 con expansión m ex de musitronics ,N/A, ,N/A,2025/7/24,N/A
5,0,0,0,1,215,0,0,0,0,roland,roland tr6s ,N/A, ,N/A,2025/7/24,N/A
6,0,0,0,1,120,0,0,0,0,-,tiptop fold processor ,N/A, ,N/A,2025/7/24,N/A
7,0,0,0,1,1189,0,0,0,0,arturia,arturia matrixbrute noir ,N/A, ,N/A,2025/7/24,N/A
8,0,0,0,1,600,0,0,0,0,hammond,hammond xk1 -actualizado- ,N/A, ,N/A,2025/7/24,N/A
9,0,0,0,1,700,0,0,0,0,-,mannequins silohuette ,N/A, ,N/A,2025/7/24,N/A
10,0,0,0,1,90,0,0,0,0,akai,sampler akai s2000 ,N/A, ,N/A,2025/7/24,N/A
11,0,0,0,1,60,0,0,0,0,akai,akai mpx8 sampler ,N/A, ,N/A,2025/7/24,N/A
12,0,0,0,1,55,0,0,0,0,-,relay para leslies 122 147 con caps ,N/A, ,N/A,2025/7/24,N/A
13,0,0,0,1,650,0,0,0,0,elektron,elektron octatrack mk i ,N/A, ,N/A,2025/7/24,N/A
14,0,0,0,1,300,0,0,0,0,-,ne basimilus iteritas alter ,N/A, ,N/A,2025/7/24,N/A
15,0,0,0,1,540,0,0,0,0,roland,roland jv2080 + 3 expansiones ,N/A, ,N/A,2025/7/24,N/A
16,0,0,0,1,190,0,0,0,0,-,teclado controlador nektar panorama t6 ,N/A, ,N/A,2025/7/24,N/A
17,0,0,0,1,276,0,0,0,0,noise,filtro british noise electrónics ,N/A, ,N/A,2025/7/24,N/A
18,0,0,0,1,69,0,0,0,0,boss,pedal de volumen y expresión boss fv-500l ,N/A, ,N/A,2025/7/24,N/A
19,0,0,0,1,300,0,0,0,0,instruments,instruments mopho ,N/A, ,N/A,2025/7/24,N/A
20,0,0,0,1,400,0,0,0,0,yamaha,yamaha dx7 supermax ,N/A, ,N/A,2025/7/24,N/A
21,0,0,0,1,2680,0,0,0,0,dave smith ,prophet 12 impecable ,N/A, ,N/A,2025/7/24,N/A
22,0,0,0,1,575,0,0,0,0,roland,roland d50 ,N/A, ,N/A,2025/7/24,N/A
23,0,0,0,1,10,0,0,0,0,korg,korg m3r soundbank ambient & new age music ,N/A, ,N/A,2025/7/24,N/A
24,0,0,0,1,195,0,0,0,0,korg,"korg n1r sintetizador, módulo de sonido ",N/A, ,N/A,2025/7/24,N/A
25,0,0,0,1,1400,0,0,0,0,dave smith ,prophet 08 pe reservado ,N/A, ,N/A,2025/7/24,N/A
26,0,0,0,1,390,0,0,0,0,-,empresa zoia en garantía ,N/A, ,N/A,2025/7/24,N/A
27,0,0,0,1,285,0,0,0,0,korg,korg opsix mk1 ,N/A, ,N/A,2025/7/24,N/A
28,0,0,0,1,899,0,0,0,0,roland,roland jupiter xm nuevo sin usar ,N/A, ,N/A,2025/7/24,N/A
29,0,0,0,1,90,0,0,0,0,2hp,2hp mixer ,N/A, ,N/A,2025/7/24,N/A
30,0,0,0,1,400,0,0,0,0,roland,roland boutique ju-6a+teclado k-25m con laterales de madera ,N/A, ,N/A,2025/7/24,N/A
31,0,0,0,1,25,0,0,0,0,-,stand dobles para teclado ,N/A, ,N/A,2025/7/24,N/A
32,0,0,0,1,250,0,0,0,0,quasimidi,quasimidi cyber ,N/A, ,N/A,2025/7/24,N/A
33,0,0,0,1,50,0,0,0,0,midi,teclado controlador midi behringer umx610 ,N/A, ,N/A,2025/7/24,N/A
34,0,0,0,1,22,0,0,0,0,korg,"soporte para korg volca diseño propio, variedad colores ",N/A, ,N/A,2025/7/24,N/A
35,0,0,0,1,4790,0,0,0,0,grp,grp synthesizer a4 ,N/A, ,N/A,2025/7/24,N/A
36,0,0,0,1,390,0,0,0,0,synthesis,e440 synthesis technology – filtro eurorack ,N/A, ,N/A,2025/7/24,N/A
37,0,0,0,1,1400,0,0,0,0,-,pulsar 23 by soma ,N/A, ,N/A,2025/7/24,N/A
38,0,0,0,1,210,0,0,0,0,mod,shakmat mod medusa ,N/A, ,N/A,2025/7/24,N/A
39,0,0,0,1,900,0,0,0,0,sequential,sequential six trak solo venta ,N/A, ,N/A,2025/7/24,N/A
40,0,0,0,1,156,0,0,0,0,-,cable conector 11 pines a jacks ,N/A, ,N/A,2025/7/24,N/A
41,0,0,0,1,780,0,0,0,0,-,leslie ultracompacto en madrid ,N/A, ,N/A,2025/7/24,N/A
42,0,0,0,1,1000,0,0,0,0,roland,roland rd700nx ,N/A, ,N/A,2025/7/24,N/A
43,0,0,0,1,1000,0,0,0,0,waldorf,waldorf kyra ,N/A, ,N/A,2025/7/24,N/A
44,0,0,0,1,995,0,0,0,0,roland,roland xp-30 + 8 tarjetas sr-jv80 ,N/A, ,N/A,2025/7/24,N/A
45,0,0,0,1,2200,0,0,0,0,kurzweil,kurzweil k2700 ,N/A, ,N/A,2025/7/24,N/A
